Referencia;Descripcion;Familia Padre;Familia;Subfamilia;Stock Fisico;Stock Operativo;Stock Comercial;Mar;Puerto;Despachado
02576;"TV Cecotec A Series ALU00050S";"Gama Marrón";"Televisores";"Televisores LED";2;2;2;0;0;0
02584;"TV Cecotec A series ALU00043S";"Gama Marrón";"Televisores";"Televisores LED";0;0;0;0;0;0
05559;"Aspirador de trineo Conga PopStar 4000 Ultimate Animal";"Aspiración y Limpieza";"Aspiradores trineo";"Aspiradores trineo sin bolsa";8;8;8;0;0;0
07467;"Cecotec Colchón Viscoelástico Flow ViscoCare 1900 180x200cm.Multicapa";"Descanso";"Descanso";"Descanso";37;37;37;0;0;32
07728;"Colchón Flow One 90x190";"Descanso";"Descanso";"Descanso";7;7;7;0;0;0
08145;"Conga 2499 Ultra Genesis";"Aspiración y Limpieza";"Robots";"Robots aspiradores";2537;2536;2536;0;0;5500
06676;"Colchón Flow PureVital 1900 105x200";"Descanso";"Descanso";"Descanso";3;3;3;0;0;9
03084;"Tostador vertical BigToast Double";"PAE Cocina";"Tostadores";"Tostadores verticales";2384;2351;2351;0;0;0
01505;"Cafetera Megautomática Power Matic-ccino 7000 Serie Nera";"PAE Cocina";"Cafeteras";"Cafeteras superautomáticas";1;-2;-2;0;0;0
01588;"Cafetera express Cumbia Power Espresso 20 Barista Aromax";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";2;2;2;0;0;0
05152;"Aspirador Wet and dry con tubo telescopico";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales BLDC";0;-5;-5;0;0;0
03965;"Batidoras de mano Katana 12 Jar G";"PAE Cocina";"Batidoras";"Batidoras de mano";399;397;397;0;0;0
03205;"Picadora eléctrica TitanGlass";"PAE Cocina";"Picadoras";"Picadoras";6;4;4;0;0;0
05177;"Consumibles para congas serie 1090";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";0;-5;-5;0;0;0
05434;"Robot aspirador Conga 3390";"Aspiración y Limpieza";"Robots";"Robots aspiradores";0;0;0;0;0;0
01555;"Cafetera de goteo programable Route Coffee 66 Smart";"PAE Cocina";"Cafeteras";"Cafeteras de goteo";200;-46;154;0;0;0
05609;"Deshumidificador BigDry 9000 Professional Black";"Cuidado del aire";"Tratamiento del aire";"Deshumidificadores";15;15;15;0;0;0
07692;"Colchón Flow PureVital 3800 90x190";"Descanso";"Descanso";"Descanso";0;0;0;0;0;0
02375;"Frigorifico Bolero CoolMarket TT 90 Inox";"GAE";"Frigoríficos";"Mini frigoríficos";0;0;0;0;0;0
05308;"Calefactor cerámico básico 2000W HPC-D1503";"Cuidado del aire";"Calefacción";"Calefactores cerámicos de sobremesa";428;415;415;0;0;0
01003;"Set 4 cuchillos santoku con recubrimiento ceramico";"Menaje";"Cuchillos";"Cuchillos";3101;3101;3101;0;0;0
01096;"Cazo Polka Fantasy 16 Pot Golden";"Menaje";"Sartenes y Ollas";"Ollas y cazos";875;875;875;0;0;318
05647;"Difusor de aroma PureAroma 550 Connected White Woody";"Cuidado del aire";"Tratamiento del aire";"Humidificadores";1048;989;989;0;0;0
01101;"Olla Polka Fantasy 24 Pot Golden";"Menaje";"Sartenes y Ollas";"Ollas y cazos";692;692;692;0;0;318
01102;"Olla Polka Fantasy 28 Pot Golden";"Menaje";"Sartenes y Ollas";"Ollas y cazos";976;976;976;0;0;318
01121;"Grill Polka Fantasy 28 Grill Golden";"Menaje";"Sartenes y Ollas";"Grills";804;804;804;0;0;318
01126;"Olla Polka Fantasy 24 Pot Silver";"Menaje";"Sartenes y Ollas";"Ollas y cazos";901;901;901;0;0;318
01127;"Olla Polka Fantasy 28 Pot Silver";"Menaje";"Sartenes y Ollas";"Ollas y cazos";819;819;819;0;0;318
05965;"Ventilador de techo EnergySilence Aero 3600 Vision Nude";"Cuidado del aire";"Ventilación";"Ventiladores de techo";617;611;611;0;0;0
01281;"Sartén Polka Fantasy 24 Bucket Golden";"Menaje";"Sartenes y Ollas";"Sartenes";978;978;978;0;0;318
08390;"Aspirador Vertical CONGA ROCKSTAR DEEPCLEAN ANIMAL";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales batería";28;5;5;0;0;0
01465;"Set de Sartenes Polka Fantasy 20-24-28 Bucket Set Silver";"Menaje";"Sartenes y Ollas";"Set de sartenes";818;818;818;0;0;816
01468;"Set de Sartenes Polka Fantasy 20-24-28 Bucket Set Golden";"Menaje";"Sartenes y Ollas";"Set de sartenes";898;898;898;0;0;816
01702;"Microondas 20l ProClean 3010 Retro Green";"PAE Cocina";"Microondas";"Microondas solo";1193;1139;1139;0;0;0
01711;"Microondas 20l con grill ProClean 5110 Retro Blue";"PAE Cocina";"Microondas";"Microondas con grill";1262;1204;1204;0;0;0
01715;"Microondas 20l con grill ProClean 5110 Retro Red";"PAE Cocina";"Microondas";"Microondas con grill";1327;1280;1280;0;0;0
02257;"Horno Freidora Bake&Fry 1400 Touch Steel";"PAE Cocina";"Hornos eléctricos";"Hornos freidoras";9;7;7;0;0;0
03046;"Black&water 2500";"PAE Cocina";"Planchas eléctricas";"Planchas eléctricas";2347;2317;2317;0;0;0
03113;"Barbacoa eléctrica PerfectCountry 2000 EasyMove";"PAE Cocina";"Barbacoas";"Barbacoas eléctricas";1;0;0;0;0;0
03191;"Plancha eléctrica Tasty&Grill 3000 BlackWater MixGrill";"PAE Cocina";"Planchas eléctricas";"Planchas eléctricas";2711;2697;2697;0;0;0
03250;"Vaporeta vertical HydroSteam 3030 Active";"Aspiración y Limpieza";"Vaporetas";"Vaporetras de mano";1625;1620;1620;0;0;0
03254;"Vaporera Vapovita 3000 Pro";"PAE Cocina";"Vaporeras";"Vaporeras";11;6;6;0;0;0
05131;"Aspirador vertical Conga ThunderBrush 890 Immortal Battery 29,6 V (Color azul)";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales cable";19;11;11;0;0;0
03259;"Toast&Taste 800 Vintage Light Red";"PAE Cocina";"Tostadores";"Tostadores verticales";0;0;0;0;0;0
03455;"Plancha de pelo de infrarrojos Bamba RitualCare iSphere";"Cuidado personal";"Planchas de pelo";"Planchas de pelo estrechas con cable";2860;2860;2860;0;0;0
03456;"Plancha de pelo de placas anchas Bamba RitualCare Sphere Max";"Cuidado personal";"Planchas de pelo";"Planchas de pelo anchas con cable";2580;2580;2580;0;0;0
03629;"A2 series ALU20070Z";"Gama Marrón";"Televisores";"Televisores LED";0;0;0;0;0;0
03630;"A2 series ALU20070ZS";"Gama Marrón";"Televisores";"Televisores LED";0;0;0;0;0;0
03631;"V1+ series VQU11070Z+";"Gama Marrón";"Televisores";"Televisores QLED";0;0;0;0;0;0
03632;"V1+ series VQU11070Z+S";"Gama Marrón";"Televisores";"Televisores QLED";0;0;0;0;0;0
03900;"Batidora Amasadora Cecomixer Merengue 5L 1200 Green";"";"";"";0;0;0;0;0;0
03901;"Batidora Amasadora Cecomixer Merengue 5L 1200 Ice-Cream Green";"";"";"";0;0;0;0;0;0
